facility,date,contract_hours,employee_hours,census
335291,2024-11-20,754.75,344.5,251.0
335291,2024-11-06,726.75,328.0,256.0
335291,2024-05-07,725.25,315.0,252.0
335291,2024-12-22,718.5,223.0,257.0
335291,2024-10-23,716.5,347.0,253.0
335426,2024-12-10,711.0,426.0,314.0
335291,2024-12-11,707.25,345.5,258.0
335426,2024-12-16,706.75,507.5,319.0
335291,2024-11-27,701.75,312.5,246.0
335426,2024-12-17,697.0,501.5,317.0
