facility,valid_days,training_daily_mean,training_coverage,eligible,selection_hash,selected
335104,275,65.34927272727272,1.0,True,b792de1a4711eb936ade9ff5bd6370569ad4927ce3275e7ff22eaa3be37a2ad7,False
335105,275,0.0,1.0,True,2d5765dc2e4ec5fe211045c39fcd03fa95e34a7a0f80e60cc7d421506b10eda8,False
335108,275,0.0,1.0,True,73923917a326a98b23eab4ec41f2dbdcf9065fd5bf0b6bf6dfb094dd1c563a9d,False
335110,275,23.825636363636363,1.0,True,0d0b9e67841612f7e7ce3a5396b208d419abe76a9f7dd6c4eecc7ebecadbadaf,True
335112,275,0.0,1.0,True,40983aedeb10133ee7f85677089cd91cbd02c3ef062d0a50accd5279184f983d,False
335125,275,230.70898181818183,1.0,True,b6a8eb8f1650ac87fbcb6334c8d82a146ffd5f11e2c2dd1a57edfd34c12039dd,False
335127,275,96.99272727272728,1.0,True,992639d2d3a2d60ed739fcd4064697523f68d913b6353a84126e09c5f875942e,False
335128,275,22.2224,1.0,True,37071d5c06ff348a29eccbf750ebf2a73b5274b44d997217076398ca10491784,False
335130,275,9.212727272727273,1.0,True,c8b3b34fe437c4e713f532fa483fab743711244591dfc74f40a50be42d2c7282,False
335131,275,73.92876363636364,1.0,True,0cdd7f28a3a39fe9f7be275922670a1188a0dc3a4858a0f82c9cf113e67681b1,True
335132,275,331.51545454545453,1.0,True,3798dea3ef7739227b01c641fd7e1e024ab4aa003729e850d7ae5a83d55d3e8c,False
335133,275,84.36363636363636,1.0,True,0711f2bedbcf3e0783569bf0e2ce83007e25776bc812193f8c90d4d696bc7913,True
335136,275,6.748181818181818,1.0,True,c20b362d88a9ef1256af47212aa5c8c75e64f39f643f29c5e5f42d7dd4bd2040,False
335139,275,0.0,1.0,True,0454b830e9522369e7cf33ec0a85c4f60d74dedef1966aa6842eb863c019b2f5,True
335140,275,0.0,1.0,True,1a20589e15340a237f9ae048499cc6f97a926532e6bc9edaa7d611c99b82c521,False
335141,275,36.353854545454546,1.0,True,ee6b9c764f554b378d2b98f8eee0f857a787d565e23616e97eab66e360184e6a,False
335142,275,2.7568,1.0,True,7fd92fa5d0d7715e7110f1556584c31a76526891415d528f283cf1c441f5a821,False
335143,275,26.5252,1.0,True,7faccb92a3d7025bdedf2ab47d253d12565f379a595d5f56042bced523c0ffd6,False
335146,275,32.701454545454546,1.0,True,f75381843cb96779c87627601687d615c63cc945c38840d4134587000427df31,False
335148,275,18.387272727272727,1.0,True,613e6e7f33e9a3a7070cab9974bb97fb81402c4ef966062aedb58912cdd9a977,False
335154,275,24.213636363636365,1.0,True,0ab3986231d2c4ac886dd01c3ab25cba33a272df92c5ce33612fd3e3281a43cb,True
335155,275,5.505454545454546,1.0,True,fc7c99c5a508ac0a97430025fababf490f92bc72fe5ad0f543d151b483541b6c,False
335156,275,142.93727272727273,1.0,True,499213c7b28f4e092f38ff854533f8eb04a85a54c67208381e2f6bd362794867,False
335158,275,0.0,1.0,True,22f1678292931461135e9e501be4f715101a4b2692e81ed9a74dfce1adb70d2f,False
335159,275,32.42174545454545,1.0,True,0b7c41d54440fa0e65cac30694fe075f6ec99180b5692bbc3c847419ae3bb37a,True
335160,275,25.78727272727273,1.0,True,5669f684baf120fd08a2a0d15698791a02bb768287e73598c33a31fccab7240a,False
335161,275,58.898618181818186,1.0,True,54006716a92488fe9bd024b917af7fa10f02205465c9fac24d6e9f7b5a13164a,False
